默认处置类型	产品	工序代码	不良原因名称	启用状态
返工	STOPPER	#2030	倒角	启用
返工	STOPPER	#2030	垂直度	启用
返工	STOPPER	#2030	R1.8	启用
返工	STOPPER	#2030	崩刀	启用
返工	STOPPER	#2030	3.2±0.1	启用
返工	STOPPER	#2030	端面	启用
返工	STOPPER	#2030	总高	启用
返工	STOPPER	#2030	其他	启用
返工	止动块	#2030	倒角	停用
返工	止动块	#2030	垂直度	停用
返工	止动块	#2030	R1.8	停用
返工	止动块	#2030	崩刀	停用
返工	止动块	#2030	3.2±0.1	停用
返工	止动块	#2030	端面	停用
返工	止动块	#2030	总高	停用
返工	止动块	#2030	其他	停用
返工	PTJ92	#1020	总高 25.8±0.05	启用
返工	PTJ92	#1020	φ25.95±0.05	启用
返工	PTJ92	#1020	φ24.61+0.04	启用
返工	PTJ92	#1020	平行度	启用
返工	PTJ92	#1020	φ70.2±0.15 外径大	启用
返工	PTJ92	#1020	L±0.05	启用
返工	PTJ92	#1020	端面压伤	启用
返工	PTJ92	#1020	夹伤	启用
返工	PTJ92	#1020	R35.1±0.1	启用
返工	PTJ92	#1020	57.75±0.04	启用
返工	PTJ92	#1020	倒角	启用
返工	PTJ92	#1020	磕碰	启用
返工	PTJ92	#1020	其他	启用
返工	PTJ92	#3040	垂直度	启用
返工	PTJ92	#3040	70.2 外径	启用
报废	STOPPER	#2030	总高	启用
报废	STOPPER	#2030	垂直度	启用
报废	STOPPER	#2030	总高 8.6	启用
报废	STOPPER	#2030	总高 5.3	启用
报废	STOPPER	#2030	外径 15.3	启用
报废	STOPPER	#2030	夹伤	启用
报废	STOPPER	#2030	R1.8 圆弧	启用
报废	STOPPER	#2030	端面	启用
报废	STOPPER	#2030	倒角	启用
报废	STOPPER	#2030	3.2 台阶	启用
报废	STOPPER	#2030	坯料	启用
报废	STOPPER	#2030	外观不良	启用
报废	STOPPER	#2030	崩刀	启用
报废	STOPPER	#2030	撞刀	启用
报废	STOPPER	#2030	放反	启用
报废	STOPPER	#2030	跳工序	启用
报废	STOPPER	#2030	二次加工	启用
报废	STOPPER	#2030	不明批号	启用
报废	STOPPER	#2030	其他	启用
报废	STOPPER	#4050	总高	启用
报废	STOPPER	#60	平行度	启用
报废	STOPPER	#60	总高	启用
报废	STOPPER	#60	未磨出	启用
报废	STOPPER	#60	垂直度	启用
报废	STOPPER	#60	夹伤	启用
报废	STOPPER	#60	倒角	启用
报废	STOPPER	#60	端面	启用
报废	STOPPER	#60	生锈	启用
报废	STOPPER	#60	磕碰	启用
报废	STOPPER	#60	外观不良	启用
报废	STOPPER	#60	胚料	启用
报废	STOPPER	#60	3.2±0.1	启用
报废	STOPPER	#60	R1.8	启用
报废	STOPPER	#60	其他	启用
报废	止动块	#2030	总高	停用
报废	止动块	#2030	垂直度	停用
报废	止动块	#2030	总高 8.6	停用
报废	止动块	#2030	总高 5.3	停用
报废	止动块	#2030	外径 15.3	停用
报废	止动块	#2030	夹伤	停用
报废	止动块	#2030	R1.8 圆弧	停用
报废	止动块	#2030	端面	停用
报废	止动块	#2030	倒角	停用
报废	止动块	#2030	3.2 台阶	停用
报废	止动块	#2030	坯料	停用
报废	止动块	#2030	外观不良	停用
报废	止动块	#2030	崩刀	停用
报废	止动块	#2030	撞刀	停用
报废	止动块	#2030	放反	停用
报废	止动块	#2030	跳工序	停用
报废	止动块	#2030	二次加工	停用
报废	止动块	#2030	不明批号	停用
报废	止动块	#2030	其他	停用
报废	止动块	#4050	总高	启用
报废	止动块	#60	平行度	启用
报废	止动块	#60	总高	启用
报废	止动块	#60	未磨出	启用
报废	止动块	#60	垂直度	启用
报废	止动块	#60	夹伤	启用
报废	止动块	#60	倒角	启用
报废	止动块	#60	端面	启用
报废	止动块	#60	生锈	启用
报废	止动块	#60	磕碰	启用
报废	止动块	#60	外观不良	启用
报废	止动块	#60	胚料	启用
报废	止动块	#60	3.2±0.1	启用
报废	止动块	#60	R1.8	启用
报废	止动块	#60	其他	启用
报废	PTJ92	#1020	57.74±0.05	启用
报废	PTJ92	#1020	总高 25.8±0.05	启用
报废	PTJ92	#1020	压伤	启用
报废	PTJ92	#1020	平行度	启用
报废	PTJ92	#1020	24.61+0.04	启用
报废	PTJ92	#1020	L±0.05	启用
报废	PTJ92	#1020	放反	启用
报废	PTJ92	#1020	二次加工	启用
报废	PTJ92	#1020	R35.1±0.1	启用
报废	PTJ92	#1020	撞刀	启用
报废	PTJ92	#1020	生锈	启用
报废	PTJ92	#1020	磕碰	启用
报废	PTJ92	#1020	φ25.95±0.05	启用
报废	PTJ92	#1020	φ70.2±0.15 外径	启用
报废	PTJ92	#1020	外观不良	启用
报废	PTJ92	#1020	其他	启用
报废	PTJ92	#3040	端面	启用
报废	PTJ92	#3040	磕碰	启用
报废	PTJ92	#3040	内孔	启用
报废	PTJ92	#3040	垂直度	启用
报废	PTJ92	#3040	齿部夹伤	启用
报废	PTJ92	#3040	倒角	启用
报废	PTJ92	#3040	外观不良	启用
报废	PTJ92	#3040	二次加工	启用
报废	PTJ92	#3040	25.95±0.04	启用
报废	PTJ92	#3040	25.8±0.05	启用
报废	PTJ92	#3040	平行度	启用
报废	PTJ92	#3040	同轴度大	启用
报废	PTJ92	#3040	57.74±0.05	启用
报废	PTJ92	#3040	L±0.05	启用
报废	PTJ92	#3040	其他	启用
报废	PTJ92	#50	生锈	启用
报废	PTJ92	#50	外观	启用
报废	PTJ92	#50	二次加工	启用
报废	PTJ92	#50	端面	启用
报废	PTJ92	#50	齿伤	启用
报废	PTJ92	#50	总高	启用
报废	PTJ92	#50	内孔	启用
